foro,tema
Telegrafia,"No figura oficina en la WebTeleg"
Telegrafia,"Modulo AtCli"
Telegrafia,"Procedimiento de RRLOG"
Telegrafia,"Telegrama sin serializar por falta de Localidad en el Campo LOC del destinatario"
Telegrafia,"Problemas con planillas (no reciben serial)"
Telegrafia,"Problemas de depuracion (Paradox/Oracle)"
Telegrafia,"Parametrizacion terminal OPT"
Telegrafia,"Agregados para STM-Interfaz Internacional"
Telegrafia,"Agregados para STM-Corrección"
Telegrafia,"Agregados para STM-SIT"
Telegrafia,"Agregados para STM-Imágenes"
Telegrafia,"Modulo OPT"
Telegrafia,"Depuraracion manual de oficinas SIT (segmento de rollback)"
Telegrafia,"Hacer listado a partir de consulta en SQL NAVIGATOR"
Telegrafia,"Borrado de planillas sin telegramas asociados"
Telegrafia,"Fallo en carga automática de RR (CASO 2 NO EMBRATEL, ANTEL O TELECOMSPA)"
Telegrafia,"¿Como borrar un CENTRI/TELEGRAMA? [ORACLE] ***MIGRADO***"
Telegrafia,"¿Que hacer cuando los telegramas no serializan?/telegramas en estado TI"
Telegrafia,"¿Como modificar Provincia y Localidad en INTERFAZ STS?"
Telegrafia,"¿Como configurar el intervalo Online?"
Telegrafia,"Que significan las siglas STS?"
Telegrafia,"Problemas Right Fax en Transmicion Central"
Telegrafia,"Problemas de reporte de actividades"
Telegrafia,"Como utilizar el script de reemplazo de tablas?"
Telegrafia,"Microcortes y conexion al host perjudican el estado de los telegramas?"
Telegrafia,"El host no responde los PCE o telegramas no pasando del estado ME al AH, por configuracion de la tabla parametros."
Telegrafia,"Se duplican registros en la tabla parametros."
Telegrafia,"Cual es la estructura correcta de las tablas principales del STS?"
Telegrafia,"Cuales son los estados de los telegramas? MIGRADO"
Telegrafia,"Correo localidades distantes SLA Diferido... Cuales son las sucursales que estan en esta categoria?"
Telegrafia,"Como parametrizo un equipo?"
Telegrafia,"Como acceder a los aplicativos de la plataforma sts?"
Telegrafia,"Acceder a sqlplus desde consola?"
Telegrafia,"Predeterminar impresora Laser para el usuario Optele."
Telegrafia,"Mensaje de alarma &quot;no recepción de seriales&quot;"
Telegrafia,"Actualizacion Modulo OPT"
Telegrafia,"LOG Agentes"
Telegrafia,"Tickets resultado de reparto telegramas internacionales (RRLOG)"
Telegrafia,"Pedido telegrafico &quot;Grisado&quot; MIGRADO"
Telegrafia,"Table en oracle que no existe"
Telegrafia,"Agente Right Fax (No conecta)"
Telegrafia,"PCE sin aparecer"
Telegrafia,"Oficina UNITEL via UTFT (e wordpress)"
Telegrafia,"Instalacion nuevo cliente CIRCULARES (La posición no puede enviar reportes vía mail.)"
Telegrafia,"Clientes de Imagenes"
Telegrafia,"Problemas con la depuración de imágenes (No se generan las carpetas de Backup)"
Telegrafia,"Parametrizacion Servidor Circulares"
Telegrafia,"Avisos de Giros (INTERFAZ GIROS) (en wordpress)"
Telegrafia,"Estructura de telegramas en imposicion"
Telegrafia,"Informe de recepción por operador"
Telegrafia,"Confirmar base ORACLE completamente arriba"
Telegrafia,"Para CIRCULARES, CORR Y SIT NUEVOS! (W10) (pasado)"
Telegrafia,"Forzar agentes CIRCULARES, CORR Y SIT NUEVOS!) y Server 2008 (En worldpress))"
Telegrafia,"Oficina SIT con interface SIE"
Telegrafia,"Agente RightFax en Java (pasado)"
Telegrafia,"Forzar Agentes en servidor de Telegrafía"
Telegrafia,"Agente RigthFax Error TableSpace (En wordpress)"
Telegrafia,"Agentes en I5301 I5908 No Fuerzan (Listo)"
"Administracion General","Como subir imagenes a la base de conocimientos"
"Administracion General","Escribir mas de un espacio entre dos palabras"
"Administracion General","Como subir archivos a la base de conocimientos"
"Administracion General","Recovery disaster de base de datos Inventario"
PS,"10014 - Problemas con Contenedores"
PS,"10573 - Comprobante Imposición, Facturas, Label sale por error"
PS,"10186 - Telegrama en Contenedor"
PS,"10618 - Error en la facturacion"
PS,"10459 - Diferencia en campos opcionales"
PS,"10743 - Pieza en Doc. de imposicion pero no en journal"
PS,"10721 - Error en la facturación"
PS,"10847 duplicidad de operadores"
PS,"10871 - Problemas con los reportes"
PS,"10952 - inconsistencia en la tabla corte operativo"
"Giros y Transferencias","Errores frecuentes y Tickets"
"Giros y Transferencias",SIMON
"Giros y Transferencias","Manual SIMON - PC Giros"
"Giros y Transferencias","GIROS y TRANSFERENCIAS (Windows 10)"
"Giros y Transferencias","Alta de Terminal"
"Giros y Transferencias","Modificacion de Terminal"
"Giros y Transferencias","Baja de Terminal"
"Giros y Transferencias","BAJADO DE SEMILLA"
"Giros y Transferencias","error 9387 no transaction found"
"Herramientas y scripts Mosaic","Tools de Windows NT Server"
"Herramientas y scripts Mosaic",BuscaDiferencias
"Herramientas y scripts Mosaic","Script: Generar Journal (ProcJnl.pl)"
"Telegrafia UBUNTU-Java","Actualizaciones de Master Ubuntu según versión de Master."
"Telegrafia UBUNTU-Java","Forzar Agentes UBUNTU"
"Telegrafia UBUNTU-Java","Reiniciar cola de impresion UBUNTU"
"Telegrafia UBUNTU-Java","¿Como modificar tiempo de bloqueado en STS Ubuntu?"
"Telegrafia UBUNTU-Java","Configuracion Servidor/Cliente STS-Java"
"Telegrafia UBUNTU-Java","Modificar reintentos de transmision en STS-Ubuntu (mismo telegrama con dos seriales)"
"Telegrafia UBUNTU-Java","Manual STS Ubuntu"
"Telegrafia UBUNTU-Java","Capacitación STS_Java  Telegrafía"
"Telegrafia UBUNTU-Java","¿Que hacer cuando se recibe el mensaje &quot;El agente ATM se encuentra corriendo, no se puede ejecutar una nueva instancia&quot; ? STS UBUNTU"
"Telegrafia UBUNTU-Java","¿Como modificar los dpi de impresión en STS java desde XTerm? (Impresora lenta)"
"Telegrafia UBUNTU-Java","¿Como habilitar Copy/Paste en STS Ubuntu?"
"Telegrafia UBUNTU-Java","¿Que hacer cuando la operacion de pedidos telegraficos esta grisada en STS Ubuntu?"
"Telegrafia UBUNTU-Java","¿Como configurar impresora en STS Ubuntu?"
"Telegrafia UBUNTU-Java","Direccionar la impresora de ticket a un archivo desde UBUNTU"
"Telegrafia UBUNTU-Java","Telefonogramas - Error al inicializar. Fallo al conectar"
"Telegrafia UBUNTU-Java","Ingresar a dominio por consola"
"Telegrafia UBUNTU-Java","Transferencia/copia de archivos"
"Telegrafia UBUNTU-Java","Cambio de resolución de video"
"Telegrafia UBUNTU-Java","Conocer Versiones"
"Telegrafia UBUNTU-Java","Comandos para conocer nombres e IPs de terminales Ubuntu"
"Telegrafia UBUNTU-Java","Error: WARNING: REMOTE HOST IDENTIFICATION HAS CHANGED!"
"Telegrafia UBUNTU-Java","Borrado de planillas sin telegramas asociados"
"Telegrafia UBUNTU-Java","Cambiar clave de VNC"
"Telegrafia UBUNTU-Java","No inicia modulo de recepción en STS Java"
"Telegrafia UBUNTU-Java","Subir terminal a dominio"
"Telegrafia UBUNTU-Java","Actualizar hora en terminal Ubuntu"
"Telegrafia UBUNTU-Java","Copiar dbconect.cry para ver 5301_MG"
"Telegrafia UBUNTU-Java","Consultas con formato en Putty"
"Telegrafia UBUNTU-Java","No reconoce usuario optele"
"Telegrafia UBUNTU-Java","Realizar Chequeo de disco"
"Telegrafia UBUNTU-Java","Exportar/Importar Tablas en Postgres"
"Telegrafia UBUNTU-Java","Problemas con VNC"
"Telegrafia UBUNTU-Java","PROBLEMAS EN RT UBUNTU"
"Telegrafia UBUNTU-Java","Reindexar BDPostgres"
"Telegrafia UBUNTU-Java","No abre recepcion (Mas de &quot;20.000&quot; telegramas en estado AP)"
"Telegrafia UBUNTU-Java","Servicio ATM se cae / &quot;Error: no se pudo inicialar el comunicador. mail_bind&quot;"
"Telegrafia UBUNTU-Java","No Abre STS"
"Telegrafia UBUNTU-Java","Crear usuario optele local y deshabilitar login por Samba y Winbindd"
"Telegrafia UBUNTU-Java","Borrar telegrama postgresql"
"Telegrafia UBUNTU-Java","Perfil Optele dañado"
"Telegrafia UBUNTU-Java","ATM  RX se cae al forzar.&quot;Error: no se pudo inicialar el comunicador. mail_bind&quot;"
"Telegrafia UBUNTU-Java","Modificar cantidad de Dias de Borrado"
"Telegrafia UBUNTU-Java","Borrar registro de Imagen que no se puede procesar (Servidores imagenes I5301 I5908"
"RT - Java","Direccionar la impresora de ticket a un archivo desde UBUNTU"
"Herramientas y scripts Telegrafia",WinScp
"HP Service Manager","Manual HP Service Manager Service"
"HP Service Manager","Procedimientos con Incidentes (IM)"
"HP Service Manager","Estados IMs"
"Mercado Libre","Modificar registro"
Turnero,Server
Turnero,Totem
Turnero,Pantalla
Turnero,"Documentación Original"
Turnero,"Configuración de Sonido"
Turnero,"Pruebas &quot;Operativas&quot;"
Turnero,"Problemas de salteo de numeros"
Turnero,"NO SE PUEDE INICIAR EL PUESTO EN ESTE MOMENTO"
"Mosaic MOA","Servicio Connserver"
"Mosaic MOA","Error #5265"
"Mosaic MOA","Error &quot;Debug Assertion Failed&quot;"
"Mosaic MOA","&quot;NO HOST&quot; reiniciar servicio switchdemand"
"Mosaic MOA","Hasar Conexión por USB e Instalación de driver"
"Mosaic MOA","Tarifas: Procedimiento MDA - Sop TI"
"Mosaic MOA",Mensajeria
"Mosaic MOA","Registro lockeado"
"Mosaic MOA","Error Vuelco Mercha y especies"
"Mosaic MOA","Problemas CAI"
"Mosaic MOA","Calibracion de impresora de label"
"Mosaic MOA","actualizar bobs"
"Mosaic MOA",Compress
"Mosaic MOA","Configurar impresora RICOH"
"Mosaic MOA","Control de journal – Turno noche"
"Mosaic MOA","Actualización de Tablas de Rutina y/o Especiales - Copia y Ejecucion"
"Mosaic MOA","Redireccion Impresora Laser Mosaic"
"Mosaic MOA","Actualizacion por transfer a terminales que operan por MODEM"
"Mosaic MOA","Actualización y envío de tablas a Western Union"
"Mosaic MOA","Actualización de Versión Mosaic"
"Mosaic MOA","Configuración de Escaner HP 426"
"Mosaic MOA","Configuración de Escaner HP 527"
"Mosaic MOA","Actualizar Firmware HP527"
"Mosaic MOA","Actualizacion Terminal VPI"
"Mosaic MOA","Lapos (Problemas al realizar la salida de valores al adm reg) )"
"Mosaic MOA","Fallo de conexion al CD_SERVER"
"Mosaic MOA",cdsNeverMore.ps1
"Mosaic MOA","Configuración Server Mosaic"
"Mosaic MOA","Configuración de impresora de labels (Toshiva/Zebra)"
"Mosaic MOA","El cheque aún no ha sido registrado"
"Mosaic MOA","PROCESO DE RECUPERACION DE CAIDAS EN VUELO."
"Mosaic MOA","Problemas con la impresión de los ticket en MELI"
"Mosaic MOA","Contexto de Journal se encuentra cerrado"
"Mosaic MOA","Acciones en caso de falla de la generación de los reportes PDF"
"Mosaic MOA","Onbase Mosaic No transmite"
"Mosaic MOA","Control de Despliegues"
"Mosaic MOA","Errores Western Union"
"Mosaic MOA","Instalacion del COMPRESS como servicio en server Mosaic"
"Mosaic MOA","Parametrización del servicio Compress"
"Mosaic MOA","Rtbatch Instalación y control"
"Mosaic MOA","Error 932 Table context &quot;tlr_jnl&quot; not defined"
"Mosaic MOA","Dashboard Compress"
"Mosaic MOA","Modo Debug Mosaic"
"Mosaic MOA","Fallas en Nagios"
"Mosaic MOA","Actualizar Version Mosaic"
"Soporte de Licencias",Paq.ar
"Soporte de Licencias","Windows Mobile Center"
"Soporte de Licencias",Firstdata.com.ar
"Soporte de Licencias","Actualizar Powershell a V 5.1"
"Soporte de Licencias","Firefox no abre luego de reinstalar."
"Soporte de Licencias","Instalacion UER"
"Soporte de Licencias",ZKTIME
"Soporte de Licencias","Smartmatic Q&amp;A"
"Soporte de Licencias","Funciones utiles en PowerShell"
"Soporte de Licencias","CPA Administracion de Usuarios."
"Soporte de Licencias","CPA Administracion de Usuarios."
"Soporte de Licencias","ERROR en impresión de Caratulas en XP"
"Soporte de Licencias","Gestion Causas Delictivas (GCD)"
"Soporte de Licencias","C4C - SAPCLOUD"
"Soporte de Licencias",SROM
"Soporte de Licencias","Sistema IDEAR"
"Soporte de Licencias","Perfil corrupto de windows"
"Soporte de Licencias","Unir MAC a Dominio"
"Soporte de Licencias","Dar permisos para escritorio remoto"
"Soporte de Licencias","WUPOS Certificados."
"Soporte de Licencias","ACD Supervisor - Alcatel Call Center Supervisor"
"Soporte de Licencias","Compartir una sesión de escritorio remoto"
"Soporte de Licencias","Instalación TelegraphScan"
"Soporte de Licencias","Reingresar terminal Windows 10 a dominio (necesita Admin local habilitado)"
"Soporte de Licencias","Plataforma Altitude USupervisor Altitude Web App"
"Soporte de Licencias","Verificar nombre de terminal"
"Soporte de Licencias","Analysis for Office"
"Soporte de Licencias","Habilitar SMB1"
"Soporte de Licencias","Samsung por RICOH"
"Soporte de Licencias","Lexmark X656de Scan"
"Soporte de Licencias",COF
"Soporte de Licencias","Ultra VNC - MIGRADO"
"Soporte de Licencias",UDM
"Soporte de Licencias","ABM Giros (Avisos Postales)"
"Soporte de Licencias","Configurar HP 527 para telegrapscan"
"Soporte de Licencias",MOVIPOS
"Soporte de Licencias",Microscopio
"Soporte de Licencias","Avisos Telefonicos"
"Soporte de Licencias","Procedimiento para terminales de Callcenter (baja del rightfax)"
"Soporte de Licencias","Como configurar para un usuario mas de una cuenta de mail en 365"
SOP,"Horario de Scanner difiere con la hora del sistema"
SOP,"Scanner MC32N0G da error al sincronizar con Aplicación SOP"
SOP,"Actualizaciones de Master Ubuntu según versión de Master"
SOP,"PC de SOP con demoras al realizar escaneos manuales"
SOP,"Habilitar / Deshabilitar impresora térmica Intermec en SOP"
SOP,"Ambientes de SOP NO productivos"
SOP,"Script de inicio personalizado para Microinformatica"
SOP,"Call Center Giros muestra &quot;Terminal inválida&quot; al intentar operar."
SOP,"Códigos repetidos en caratulas (Impresora térmica)"
SOP,"Deshabilitar Samba/Winbind"
SOP,"Conexion WiFi para Ubuntu 8.04"
SOP,"Corregir archivo /apps/server/transmit/configure.txt"
SOP,"Thunderbird muestra informacion incorrecta"
SOP,"Cambio de Unidad de Negocios en aplicación SOP"
SOP,"Problemas con los mensajes en Mozilla Thunderbird (foro Oficial)"
SOP,"Borrar opciones duplicados de los menus de SOP"
SOP,"Configurar impresora multifuncion Toshiba o Ricoh"
SOP,"Replica de tablas"
SOP,"Rearmar repositorio de paquetes"
SOP,"&quot;Inconsistencia de Datos&quot; bajando tablas."
SOP,"MDA no puede ingresa a menu de impresora"
SOP,"Desabilitar/habilitar SOP"
SOP,"Scanner no conecta"
SOP,"Configurar VNC en Ubuntu"
SOP,"Habilitar scaneos O3"
SOP,"SOP no acepta códigos 97 y 98  para el producto PP"
SOP,"Mantenimiento de Base SOP"
SOP,"Procesamiento de scaneos y su ubicación"
SOP,"Cambio de clave admin"
SOP,"Horario de bajada de tablas"
SOP,"Error bajando tabla"
SOP,"E0016: Operador Incorrecto"
SOP,"&quot;Base de datos  postgres dañada o corrupta&quot;"
SOP,"Escáneres se desconfiguran al cambiarlo de terminal"
SOP,"Backup y Restore de DB_SOP"
SOP,PCO
SOP,"Sop no inicia (Solo para versión 7 SOP)"
SOP,"Menu SOP no funciona"
SOP,"Falso Error al enviar documentos de entrega"
SOP,"Eliminar clave Admnistrativo SOP"
SOP,"Scanner en PC - Error conectando."
SOP,"Habilitar piezas con mas de 21 días"
"ABM Giros (Adm de Claves)","Manual de Usuario – ABM Terminales"
"Adm giros","Administracion de giros W10"
"Adm giros","Errores Detectados (crojas)"
"AFJP devoluciones","AFJP Devoluciones en W10"
"Aladino Servilog",Aladino
"Aladino Telecom","Error del programa - El índice no corresponde a la tabla. Elimine el archivo de índice y vuelva a crear el índice"
"Aladino Telecom","Instalacion Aladino Telecom via PowerShel"
"Altitude Uagent Windows (Alcatel)","Instalación Uagent Alcatel"
"Asignaciones Contables","Actualizacion de Servidor y ODBC - 18072018"
"Asignaciones Contables","Error 380"
"Call Center",Instalación
"Call Center","ERROR Cierre imagen actual, para podes visualizar la nueva"
"CCT (SACCT)","Instalación en W10"
"Consulta CPA",Instalacion
"Consulta CPACS","El programa no puede conectarse a la base de datos"
"Consulta STS","Error &quot;Unknown user name or password&quot;"
CPA,"CPA Administracion de Usuarios."
"Customer Service","Customer Service para XP"
"Customer Service","Run-time error '32014': Specified Date is invalid"
"Customer Service","Error  5852&quot;El objeto solicitado no esta Disponible&quot; (WINDOWS 10)"
"Customer Service","Error 20599 Cannot find SQL server"
Dalila,"Servilog Dalila AFIP"
"Denarius GIF","Instalación Denarius"
"Denarius GIF","Impresion en denarius"
Encamina,Encamina
"Enterprise Arquitect","Arquitect 13.5"
Filezilla,"Instalación en W10"
"Gastos Menores","Gastos menores para XP, W7 y W10"
"GDAM (Sistema de Gestión)",Instalacion
GNUPG,"Instalacion de GnuPG"
Inditel,Configurar
"IPS 2015",IPS
"IPS 2015","Problemas de Conexion Colectores"
"IPS 2015","&quot;Fatal Error (code 24590)&quot;"
ISVOL,"ISVOL01 con actualización en w10"
LIQpol-(Lambers),"Instalacion LiqPol (Windows 10)"
"Libro IVA automatizada","Instalacion Libro_Iva Automatizadas (Win10)"
"Libro IVA no automatizada","PDC Libro IVA NO automatizadas (XP o 7)"
"Libro IVA no automatizada","En W10"
Livelink,"Error grave de archivado en Livelink"
Livelink,"Archivado en Livelink"
Livelink,"Error de Archivado (Livelink queda colgado al archivar)"
Livelink,"Error No se han podido iniciar los elementos para archivar"
Livelink,"Error en canalizacion de documento (Crojas)"
Livelink,"falla al querer abrir sesion en SAP"
"Oficios Judiciales Operadores","Terminales de Claves."
OnBASE,"Instalación de Drivers, configuración"
OnBASE,"Para configurar el acceso a QA"
OnBASE,"OnBase &quot;Configurator&quot;"
"PDC Sucursal","Instalacion PDC Sucursal"
"PDC Sucursal","Actualización 2.9.5"
"PDC Sucursal","Problemas con  Carga de  Productos"
"PDC Sucursal","Componente THREED 20.OCX o unos de sus archivos dependientes no esta registrado correctamente"
"PDC Sucursal","crystal reports error 20650"
"PDC AdminConSuc","PDC Admin con Suc en W7"
"PDC AdminConSuc","Actualización 2.9.5"
"PDC AdminConSuc","Usuario de testeo y errores"
"Post In",Instalacion
Remedy,"Configuracion Remedy 5.1"
"Reporte Sistemático (Reporsit)","Instalacion de ReportSist"
"Reportes Comerciales","Reportes comerciales"
Rightfax,"Instalación RighFax"
Rightfax,"Al imprimir no abre agenda de contactos."
"SACCT Operadores (Adm de Claves)","Instalación SACCT"
SAP,"Instalacion SAP 730 740"
SAP,"HABILITAR VISOR DE IMAGENES"
SAP,"Configuración SAP Logon 740 (forzado)"
SAP,"Archivos de configuración SAP 740"
SAP,"Configuración SAP BI  &quot;&quot;ESTO NO VA MAS&quot;&quot;"
SAP,"Configurar entrada QCA"
SAP,"Error  Object 15 does not exist"
SAP,"Impresión duplicada de documentos"
SAP,"SAP se cierra al elegir modulo"
SAP,"SAP &quot;Object 15 Doesn't exist&quot;"
SAP,"Agrandar tamaño de fuente"
SAP,"Sap error al imprimir"
SAS,"Instalación de la aplicación SAS"
"SAS operadores (Adm de Claves)",OPESAS
"SAT 2000","SAT2000 en W7"
Servilog,"Servilog NetChoise"
Servilog,"Servilog NetChoise con FileZilla"
Servilog,"Servilog ERROR &quot;Cannot update the cursor.&quot;"
Servilog,"Servilog Logistico ( o &quot;servilog&quot; a secas )"
Servilog,"Actualizar servilog"
SIMON,"Instalación SIMON V 1.6"
SIMON,"Actualización a SIMON 1.7.0.0"
SIMON,"Error de permisos en SIMON"
NetTerm,"Netterm Administrativo"
"NetTerm para Call Center Ed. San Juan","Netterm Call Center"
Tortoise,"Pedidos de tablas"
WMS,"WMS en W10"
"Giros y Transferencias MOA","error ISOTRX"
"Giros y Transferencias MOA","Excedido cantidad maxima de intentos"
"Giros y Transferencias MOA","Error 100 en tiempo de ejecucion en W10"
"Giros y Transferencias MOA","Problemas al imponer las piezas de &quot;LA CASA DEL AROMA&quot;"
"Giros y Transferencias MOA","Error 53 Operacion Fallida."
"Giros y Transferencias MOA","ISVOL &quot;OPERACION DUPLICADA&quot;"
"Giros y Transferencias MOA","no puede hacer cambio de clave en SIMON"
"Giros y Transferencias MOA","No se puede identificar al comitente cuando desea realizar cobro por cuenta de terceros."
"Giros y Transferencias MOA","No imprime los ticket de pagos de asignaciones"
"Giros y Transferencias MOA","ERROR T0367 INTERNAL ERROR -MALFORMEND UCB"
"Giros y Transferencias MOA","Operacion Fallida:[3315] el campo 'T_PARAM.Desc' No puede ser una cadena de logitud cero"
"Giros y Transferencias MOA","Isvol en giros Caso Terminal Ezeiza B0061g101"
"Giros y Transferencias MOA","excel con los posibles errores en giros."
"Giros y Transferencias MOA","Usuario no pretenece a la sucursal"
"Giros y Transferencias MOA","Error OCX TRANSFER"
"Giros y Transferencias MOA","FECHA DE OPERACIÓN INCORRECTA"
Instructivos,"Configuración de un server Mosaic"
Instructivos,"Configurar escaner 527"
Instructivos,"Configuracion escaner 426"
Actualizaciones,"1- Cambio de rotulo a dos productos"
Actualizaciones,"2- Actualización a V106 - SERVER"
Actualizaciones,"2- Actualización a V106 - TOTEM"
Actualizaciones,"2- Actualización a V106 - PANTALLA"
Actualizaciones,"3- Actualización de Videos"
Actualizaciones,"4- Actualización de protocolo TCP/IP"
Actualizaciones,"5- Actualizacion de video (solo 3 sucursales)"
Oracle,"Oracle 10"
Oracle,"Insatalacion Oracle 11"
Oracle,"Oracle 12 Cliente (32)"
"Sistema QGIS","Sistema QGIS"
"Microsoft Office","Error con archivo adjunto"
"Microsoft Office","Error Outlook Windows XP. No se puede completar la accion...."
"Microsoft Office","Instalación Office 2010 (32)"
"Microsoft Office","Instalación Office 2007"
"Microsoft Office","Outlook - Envia mensajes en blanco"
"Microsoft Office","Outlook 2010 no abre mails de fax para poder imprimir"
"Microsoft Office","Microsoft Project 2013"
"Microsoft Office","No es posible desinstalar o reparar instalación de Office 2010"
"Microsoft Office","No se puede iniciar Microsoft Office Outlook. No se puede abrir la ventana de Outlook. XML no valido, no se puede cargar la vista"
"Microsoft Office","Problemas con la conexion Analysis for Office"
"Microsoft Office","Problemas inicio de sesión onedrive, 365"
"Adm Claves","ABM Giros"
"Adm Claves","Terminales ADM Claves y AO"
"Adm Claves","Diccionarios ADM-CLAVES"
IPDesktopSoftphone,"IPDesktopSoftphone en W10"
Equitrac,"Admin Tools (32 bits) para Equitrac"
WinZip,Winzip
CoreFTPLite,"CoreFTPLite (32)"
"Skype Empresarial","Instalación de Skype Empresarial"
"Sistema Malvinas","Sistema Malvina (DVCOPE)"
DigiDoc,"Instalación DigiDoc 4.0"
DigiDoc,"Detalle de SCAN.INI"
DigiDoc,Empadronamiento
DigiDoc,"Errores comunes"
DigiDoc,"Instalación y configuración DigiDoc para Elecciones 2021"
